"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação","indice","Class_NPS"
"Gol",65,"Volkswagen",9,7,8,8,7,8,8,9,9,8,8,9,8,9,9,65,"Promotores"
"Gol",66,"Volkswagen",10,8,5,10,8,8,10,10,10,7,7,10,10,8,10,66,"Promotores"
"Gol",67,"Volkswagen",9,6,9,9,7,5,6,7,9,7,7,5,9,8,6,67,"Detratores"
"Gol",68,"Volkswagen",8,5,7,9,5,5,5,5,7,8,6,4,9,7,5,68,"Detratores"
"Gol",69,"Volkswagen",9,5,7,9,7,8,6,7,9,9,6,6,9,3,3,69,"Detratores"
"Gol",70,"Volkswagen",7,4,3,7,6,4,8,7,7,7,5,8,8,6,2,70,"Detratores"
"Gol",71,"Volkswagen",8,8,8,10,7,7,9,9,10,8,7,8,8,8,9,71,"Promotores"
"Gol",72,"Volkswagen",10,8,10,10,8,8,10,8,8,10,10,10,10,8,10,72,"Promotores"
"Gol",73,"Volkswagen",8,3,4,9,6,7,7,3,9,7,2,3,3,5,7,73,"Passivos"
"Gol",74,"Volkswagen",9,7,8,8,7,6,10,6,8,6,7,10,8,7,8,74,"Passivos"
"Gol",75,"Volkswagen",8,4,3,9,3,2,2,0,6,6,2,5,5,2,0,75,"Detratores"
"Gol",76,"Volkswagen",6,2,5,5,2,2,9,2,2,6,5,5,5,7,0,76,"Detratores"
"Gol",77,"Volkswagen",9,4,7,9,8,7,6,10,10,10,8,5,5,7,10,77,"Promotores"
"Gol",78,"Volkswagen",10,10,7,8,6,5,8,0,8,8,4,0,10,3,0,78,"Detratores"
"Gol",79,"Volkswagen",8,7,6,8,3,3,8,8,9,8,8,8,8,5,7,79,"Passivos"
"Gol",80,"Volkswagen",9,8,9,9,8,8,9,9,10,10,8,9,9,9,10,80,"Promotores"
"Gol",81,"Volkswagen",7,6,6,10,7,6,9,7,10,8,5,7,9,9,8,81,"Passivos"
"Gol",82,"Volkswagen",6,0,3,8,2,1,1,0,2,2,1,1,4,6,0,82,"Detratores"
"Gol",83,"Volkswagen",9,6,0,10,0,10,8,0,10,0,5,0,8,5,0,83,"Detratores"
"Gol",84,"Volkswagen",6,4,7,8,7,6,10,9,8,10,7,9,8,7,8,84,"Passivos"
"Gol",85,"Volkswagen",8,5,6,6,7,6,3,1,4,2,4,3,5,0,0,85,"Detratores"
"Gol",86,"Volkswagen",8,1,8,6,2,0,8,0,8,0,5,0,3,1,0,86,"Detratores"
"Gol",87,"Volkswagen",8,8,4,9,7,8,7,7,5,5,8,7,8,8,6,87,"Detratores"
"Gol",88,"Volkswagen",8,3,6,2,1,4,2,4,8,4,7,0,8,1,0,88,"Detratores"
"Gol",89,"Volkswagen",9,3,7,8,7,3,8,0,8,0,0,2,8,1,0,89,"Detratores"
"Gol",90,"Volkswagen",9,6,6,8,5,4,9,10,8,8,8,10,10,7,10,90,"Promotores"
"Gol",91,"Volkswagen",7,3,5,5,2,1,5,3,3,3,2,6,4,6,2,91,"Detratores"
"Gol",92,"Volkswagen",8,2,5,3,4,4,7,4,5,5,4,8,7,4,4,92,"Detratores"
"Gol",93,"Volkswagen",10,5,9,10,8,7,9,10,10,9,8,10,10,8,10,93,"Promotores"
"Gol",94,"Volkswagen",5,3,8,5,9,5,0,0,8,5,5,8,5,1,0,94,"Detratores"
"Gol",95,"Volkswagen",9,4,9,9,9,4,9,9,9,8,9,9,8,8,7,95,"Passivos"
"Gol",96,"Volkswagen",9,5,5,7,5,3,3,3,5,6,1,5,4,5,2,96,"Detratores"
"Gol",97,"Volkswagen",6,2,2,4,2,3,2,2,8,4,2,2,8,3,0,97,"Detratores"
"Gol",98,"Volkswagen",10,9,8,9,8,8,10,10,10,9,10,10,10,9,10,98,"Promotores"
"Gol",99,"Volkswagen",6,1,3,1,2,1,1,0,0,6,0,1,6,1,0,99,"Detratores"
"Gol",100,"Volkswagen",10,8,10,9,8,6,8,10,10,1,9,10,10,10,8,100,"Passivos"
"Gol",101,"Volkswagen",8,6,8,7,7,5,7,7,8,8,8,9,9,6,8,101,"Passivos"
"Gol",102,"Volkswagen",10,2,4,4,2,2,2,1,5,5,5,1,1,7,1,102,"Detratores"
"Gol",103,"Volkswagen",7,1,7,7,3,5,8,7,8,4,3,9,7,7,2,103,"Detratores"
"Gol",104,"Volkswagen",8,8,7,8,7,5,7,8,8,8,7,7,7,7,7,104,"Passivos"
"Gol",105,"Volkswagen",7,4,5,7,4,3,5,5,5,5,4,8,6,6,5,105,"Detratores"
"Gol",106,"Volkswagen",8,7,7,8,6,5,3,4,7,7,6,6,5,7,7,106,"Passivos"
"Gol",107,"Volkswagen",9,5,8,7,6,6,8,4,9,8,7,6,8,7,7,107,"Passivos"
"Gol",108,"Volkswagen",9,6,6,7,6,5,6,8,7,8,7,8,8,8,8,108,"Passivos"
"Gol",109,"Volkswagen",8,7,7,9,6,6,7,8,9,8,8,7,8,6,7,109,"Passivos"
"Gol",110,"Volkswagen",8,8,8,7,7,4,6,8,8,7,6,7,7,7,8,110,"Passivos"
"Gol",111,"Volkswagen",8,7,4,4,4,4,8,7,7,4,5,8,7,6,7,111,"Passivos"
"Gol",112,"Volkswagen",9,8,9,9,6,4,4,7,8,9,9,9,9,8,5,112,"Detratores"
"Gol",113,"Volkswagen",9,7,6,7,6,7,9,8,9,7,9,8,8,10,9,113,"Promotores"
"Gol",114,"Volkswagen",9,8,9,9,8,8,7,8,10,9,9,8,9,10,10,114,"Promotores"
"Gol",115,"Volkswagen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,"Detratores"
"Gol",116,"Volkswagen",10,6,7,8,7,7,8,9,9,7,8,7,8,7,8,116,"Passivos"
"Gol",117,"Volkswagen",9,7,9,10,8,8,9,9,10,9,5,8,9,8,9,117,"Promotores"
"Gol",118,"Volkswagen",10,5,8,10,7,10,10,10,10,8,8,8,8,8,8,118,"Passivos"
"Gol",119,"Volkswagen",10,9,9,10,8,7,8,9,10,10,9,8,9,9,9,119,"Promotores"
"Gol",120,"Volkswagen",8,0,8,9,9,4,5,2,8,4,0,1,2,5,6,120,"Detratores"
"Gol",121,"Volkswagen",10,8,8,10,8,5,8,9,10,7,5,9,7,7,10,121,"Promotores"
"Gol",122,"Volkswagen",8,5,7,10,8,5,9,1,8,8,8,9,2,0,1,122,"Detratores"
"Gol",123,"Volkswagen",8,7,8,6,6,4,9,8,8,6,8,5,9,7,7,123,"Passivos"
"Gol",124,"Volkswagen",10,1,8,10,10,7,6,8,10,4,2,3,9,9,2,124,"Detratores"
"Gol",125,"Volkswagen",9,10,9,8,7,6,10,9,10,10,9,10,10,9,10,125,"Promotores"
"Gol",126,"Volkswagen",9,9,9,9,9,9,10,10,10,9,9,9,10,10,9,126,"Promotores"
"Gol",127,"Volkswagen",8,8,8,9,7,5,7,7,8,9,10,10,10,9,10,127,"Promotores"
"Gol",128,"Volkswagen",8,8,8,9,7,7,9,8,8,9,7,8,9,6,8,128,"Passivos"
"Gol",129,"Volkswagen",8,2,2,2,2,1,1,0,1,1,1,1,1,1,0,129,"Detratores"
"Gol",130,"Volkswagen",10,10,9,10,5,0,0,10,10,10,10,6,9,5,5,130,"Detratores"
"Gol",131,"Volkswagen",9,7,6,7,7,4,3,2,7,7,5,7,7,4,3,131,"Detratores"
"Gol",132,"Volkswagen",1,2,2,2,2,0,2,0,2,0,0,6,0,0,0,132,"Detratores"
"Gol",133,"Volkswagen",7,5,5,6,6,5,4,7,8,6,3,5,7,6,5,133,"Detratores"
"Gol",134,"Volkswagen",10,0,10,10,0,0,10,6,9,5,0,10,8,0,0,134,"Detratores"
"Gol",135,"Volkswagen",6,4,4,8,6,2,5,2,6,9,9,6,7,4,4,135,"Detratores"
"Gol",136,"Volkswagen",9,5,8,8,5,5,5,2,2,4,4,8,8,5,2,136,"Detratores"
"Gol",137,"Volkswagen",8,0,9,7,7,0,5,0,5,5,5,8,5,2,0,137,"Detratores"
"Gol",138,"Volkswagen",5,0,1,0,0,5,0,0,0,0,0,3,4,0,0,138,"Detratores"
"Gol",139,"Volkswagen",10,5,9,10,10,3,4,1,5,8,3,5,10,5,3,139,"Detratores"
"Gol",140,"Volkswagen",7,0,2,4,3,2,0,1,5,5,4,4,5,0,0,140,"Detratores"
"Gol",141,"Volkswagen",10,6,7,10,8,7,10,10,8,10,7,10,10,7,9,141,"Promotores"
"Gol",142,"Volkswagen",9,8,7,5,8,7,6,7,6,7,6,4,5,4,2,142,"Detratores"
"Gol",143,"Volkswagen",9,9,10,10,9,9,8,9,10,10,10,9,10,10,10,143,"Promotores"
"Gol",144,"Volkswagen",9,7,7,8,6,6,7,0,2,3,2,1,3,1,1,144,"Detratores"
"Gol",145,"Volkswagen",8,5,6,8,6,5,5,0,7,7,7,6,7,6,0,145,"Detratores"
"Gol",146,"Volkswagen",10,7,10,7,7,5,10,0,8,8,8,8,8,6,0,146,"Detratores"
"Gol",147,"Volkswagen",10,9,7,10,8,7,10,10,10,10,10,9,10,10,9,147,"Promotores"
"Gol",148,"Volkswagen",5,4,5,5,4,8,5,4,6,6,6,6,6,5,0,148,"Detratores"
"Gol",149,"Volkswagen",7,4,7,7,1,2,2,2,5,4,2,0,6,6,0,149,"Detratores"
"Gol",150,"Volkswagen",9,6,8,9,8,8,6,6,9,8,6,9,9,7,8,150,"Passivos"
"Gol",151,"Volkswagen",9,3,5,10,6,4,5,7,10,7,5,7,7,6,7,151,"Passivos"
"Gol",152,"Volkswagen",6,4,4,6,5,4,2,0,0,2,2,0,5,1,0,152,"Detratores"
"Gol",153,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,153,"Promotores"
"Gol",154,"Volkswagen",8,8,6,9,6,6,10,10,10,8,6,10,8,9,9,154,"Promotores"
"Gol",155,"Volkswagen",8,7,6,9,8,7,4,7,7,1,8,8,8,8,8,155,"Passivos"
"Gol",156,"Volkswagen",8,4,8,5,3,5,9,1,9,7,6,8,9,7,5,156,"Detratores"
"Gol",157,"Volkswagen",10,5,7,10,6,3,5,5,10,10,6,7,8,8,8,157,"Passivos"
"Gol",158,"Volkswagen",10,5,3,10,9,9,8,9,10,10,1,9,8,7,8,158,"Passivos"
"Gol",159,"Volkswagen",10,0,10,10,10,0,10,10,10,10,0,10,0,0,0,159,"Detratores"
"Gol",160,"Volkswagen",9,2,7,5,7,5,2,0,9,6,2,0,7,9,4,160,"Detratores"
"Gol",161,"Volkswagen",7,6,5,7,7,7,8,6,8,7,8,8,8,7,5,161,"Detratores"
"Gol",162,"Volkswagen",7,5,2,8,5,6,6,0,8,7,7,7,7,4,0,162,"Detratores"
"Gol",163,"Volkswagen",7,6,7,7,7,5,8,8,8,7,8,7,6,6,7,163,"Passivos"
"Gol",164,"Volkswagen",10,8,7,9,9,9,1,1,9,6,8,5,7,5,5,164,"Detratores"
"Gol",165,"Volkswagen",9,0,8,4,9,8,9,6,9,3,3,9,8,10,4,165,"Detratores"
"Gol",166,"Volkswagen",10,7,8,10,9,8,10,9,10,10,9,9,10,8,10,166,"Promotores"
"Gol",167,"Volkswagen",9,7,9,8,8,7,9,9,10,8,9,8,8,7,8,167,"Passivos"
"Gol",168,"Volkswagen",10,9,9,9,9,9,6,9,9,9,9,6,9,8,8,168,"Passivos"
"Gol",169,"Volkswagen",9,7,6,7,7,5,5,3,8,8,7,3,8,5,5,169,"Detratores"
"Gol",170,"Volkswagen",9,8,8,10,9,9,8,6,10,10,9,8,8,9,9,170,"Promotores"
"Gol",171,"Volkswagen",8,1,6,6,3,1,7,1,7,3,3,5,7,5,3,171,"Detratores"
"Gol",172,"Volkswagen",8,5,7,6,6,6,3,0,0,8,7,6,6,2,0,172,"Detratores"
"Gol",173,"Volkswagen",10,0,5,10,4,7,0,0,0,0,0,0,6,0,0,173,"Detratores"
"Gol",174,"Volkswagen",7,6,1,2,3,2,1,1,1,0,2,1,2,1,0,174,"Detratores"
"Gol",175,"Volkswagen",7,6,7,8,7,4,4,5,7,4,6,0,2,2,0,175,"Detratores"
"Gol",176,"Volkswagen",9,6,8,10,8,5,4,3,10,6,5,6,6,5,7,176,"Passivos"
"Gol",177,"Volkswagen",9,2,8,5,7,8,5,1,7,3,0,2,7,6,0,177,"Detratores"
"Gol",178,"Volkswagen",10,7,5,10,7,8,8,0,10,0,10,5,8,4,0,178,"Detratores"
"Gol",179,"Volkswagen",9,2,5,9,5,5,3,1,5,1,3,1,7,3,0,179,"Detratores"
"Gol",180,"Volkswagen",9,2,3,2,3,3,2,1,4,4,1,4,4,2,0,180,"Detratores"
"Gol",181,"Volkswagen",8,0,2,1,4,3,6,4,1,7,2,0,5,0,0,181,"Detratores"
"Gol",182,"Volkswagen",5,0,3,3,0,0,0,0,3,0,0,0,0,0,0,182,"Detratores"
"Gol",183,"Volkswagen",10,6,10,10,7,8,10,9,10,8,6,10,8,9,4,183,"Detratores"
"Gol",184,"Volkswagen",10,6,4,1,7,7,6,5,5,5,4,0,7,5,7,184,"Passivos"
"Gol",185,"Volkswagen",2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,185,"Detratores"
"Gol",186,"Volkswagen",9,2,9,8,8,7,6,7,9,9,7,5,9,8,7,186,"Passivos"
"Gol",187,"Volkswagen",10,10,10,10,10,7,8,10,10,10,10,10,10,10,10,187,"Promotores"
"Gol",188,"Volkswagen",8,10,5,6,6,5,9,3,10,10,2,0,6,8,8,188,"Passivos"
"Gol",189,"Volkswagen",10,7,9,8,6,7,10,10,10,8,7,9,7,9,9,189,"Promotores"
"Gol",190,"Volkswagen",5,1,2,3,5,7,8,7,7,7,7,7,7,7,6,190,"Detratores"
"Gol",191,"Volkswagen",6,0,6,4,3,4,0,0,8,0,4,0,4,3,0,191,"Detratores"
"Gol",192,"Volkswagen",9,4,6,7,6,3,9,9,10,9,9,9,10,7,7,192,"Passivos"
"Gol",193,"Volkswagen",9,9,8,8,9,7,7,8,10,8,8,8,7,9,8,193,"Passivos"
"Gol",194,"Volkswagen",9,8,9,9,7,6,9,10,10,8,8,7,10,8,10,194,"Promotores"
"Gol",195,"Volkswagen",9,8,9,7,7,7,7,9,10,9,8,7,9,9,9,195,"Promotores"
"Gol",196,"Volkswagen",7,3,5,5,4,4,6,0,5,0,6,7,7,0,0,196,"Detratores"
"Gol",197,"Volkswagen",10,8,7,8,9,7,10,10,10,10,10,10,10,10,10,197,"Promotores"
"Gol",198,"Volkswagen",8,9,7,10,10,8,7,8,10,9,10,10,10,10,10,198,"Promotores"
"Gol",199,"Volkswagen",9,9,10,10,10,8,9,9,10,9,10,10,10,9,9,199,"Promotores"
"Gol",200,"Volkswagen",10,8,7,9,8,8,5,7,7,8,7,3,7,8,7,200,"Passivos"
"Gol",201,"Volkswagen",5,3,3,9,4,0,6,3,3,3,5,7,7,3,2,201,"Detratores"
"Gol",202,"Volkswagen",10,9,9,9,6,6,8,8,8,8,7,1,7,6,7,202,"Passivos"
"Gol",203,"Volkswagen",9,8,10,9,8,7,10,10,10,9,10,10,9,9,9,203,"Promotores"
"Gol",204,"Volkswagen",10,7,9,9,8,7,9,10,7,9,10,10,10,9,9,204,"Promotores"
"Gol",205,"Volkswagen",9,2,6,9,6,6,5,1,8,7,7,7,8,10,8,205,"Passivos"
"Gol",206,"Volkswagen",10,0,9,9,8,8,9,9,9,8,9,9,7,1,5,206,"Detratores"
"Gol",207,"Volkswagen",10,7,8,10,8,5,8,9,9,9,9,9,9,8,9,207,"Promotores"
"Gol",208,"Volkswagen",9,6,9,10,8,5,10,10,10,9,8,10,7,6,6,208,"Detratores"
"Gol",209,"Volkswagen",8,5,3,5,3,8,8,7,5,7,7,9,8,8,5,209,"Detratores"
"Gol",210,"Volkswagen",9,6,6,9,7,4,10,9,8,7,6,10,7,8,2,210,"Detratores"
"Gol",211,"Volkswagen",9,9,9,9,6,1,10,8,10,9,8,8,10,8,8,211,"Passivos"
"Gol",212,"Volkswagen",9,9,9,9,9,7,9,9,10,8,9,7,10,8,9,212,"Promotores"
"Gol",213,"Volkswagen",8,8,6,8,8,8,7,7,7,6,8,5,8,8,8,213,"Passivos"
"Gol",214,"Volkswagen",9,9,9,10,8,7,9,8,10,8,9,9,8,9,10,214,"Promotores"
"Gol",215,"Volkswagen",10,9,9,10,9,7,9,8,9,8,8,6,7,4,7,215,"Passivos"
"Gol",216,"Volkswagen",10,8,8,10,7,6,7,9,10,10,8,9,10,10,10,216,"Promotores"
"Gol",217,"Volkswagen",7,4,4,4,2,1,2,3,7,3,3,5,1,2,0,217,"Detratores"
"Gol",218,"Volkswagen",8,8,8,9,9,5,8,0,10,0,9,10,9,0,0,218,"Detratores"
"Gol",219,"Volkswagen",10,8,10,10,9,8,10,10,10,10,8,8,9,10,10,219,"Promotores"
"Gol",220,"Volkswagen",10,8,8,9,9,6,8,8,9,9,9,6,8,8,9,220,"Promotores"
"Gol",221,"Volkswagen",9,9,9,10,9,8,10,9,10,10,10,10,10,10,10,221,"Promotores"
"Gol",222,"Volkswagen",8,5,6,9,7,7,7,1,10,5,7,7,7,4,1,222,"Detratores"
"Gol",223,"Volkswagen",9,9,9,9,8,7,8,9,8,7,8,9,8,9,9,223,"Promotores"
"Gol",224,"Volkswagen",7,0,9,9,1,5,5,0,10,5,0,0,10,3,0,224,"Detratores"
"Gol",225,"Volkswagen",10,3,8,9,2,1,1,2,6,6,4,0,4,1,0,225,"Detratores"
"Gol",226,"Volkswagen",10,9,10,10,10,6,0,0,0,4,5,1,6,0,1,226,"Detratores"
"Gol",227,"Volkswagen",10,8,9,10,9,7,8,7,9,10,8,7,8,8,8,227,"Passivos"
"Gol",228,"Volkswagen",10,9,10,10,10,10,8,5,8,8,9,7,8,9,8,228,"Passivos"
"Gol",229,"Volkswagen",9,4,5,7,5,1,6,6,7,6,7,0,7,3,3,229,"Detratores"
"Gol",230,"Volkswagen",7,5,3,9,8,8,2,2,3,8,8,1,7,5,0,230,"Detratores"
"Gol",231,"Volkswagen",9,5,7,8,5,4,4,6,8,6,4,4,5,9,8,231,"Passivos"
"Gol",232,"Volkswagen",6,4,6,8,6,6,1,5,4,6,1,4,6,5,3,232,"Detratores"
"Gol",233,"Volkswagen",9,8,9,9,9,9,6,7,9,8,8,7,8,7,8,233,"Passivos"
"Gol",234,"Volkswagen",6,6,4,4,4,2,1,3,3,4,2,2,2,1,2,234,"Detratores"
"Gol",235,"Volkswagen",10,9,9,10,10,8,10,10,10,10,10,9,10,8,10,235,"Promotores"
"Gol",236,"Volkswagen",8,6,8,9,6,6,9,9,9,7,8,10,10,7,8,236,"Passivos"
"Gol",237,"Volkswagen",9,5,6,10,6,4,5,7,9,8,8,5,9,4,8,237,"Passivos"
"Gol",238,"Volkswagen",9,8,9,10,8,9,8,10,10,9,9,7,8,8,10,238,"Promotores"
"Gol",239,"Volkswagen",7,0,1,7,2,2,0,0,4,6,3,2,5,3,0,239,"Detratores"
"Gol",240,"Volkswagen",5,3,3,3,3,2,3,0,4,0,0,2,2,0,0,240,"Detratores"
"Gol",241,"Volkswagen",8,8,9,7,7,3,5,1,7,5,8,7,8,8,6,241,"Detratores"
"Gol",242,"Volkswagen",8,2,7,8,8,7,7,2,8,2,7,7,7,6,1,242,"Detratores"
"Gol",243,"Volkswagen",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,243,"Detratores"
"Gol",244,"Volkswagen",10,6,10,10,8,9,6,8,10,10,9,7,9,8,10,244,"Promotores"
"Gol",245,"Volkswagen",10,9,7,9,7,5,7,9,10,9,5,9,9,8,8,245,"Passivos"
"Gol",246,"Volkswagen",10,8,8,8,8,8,9,10,10,10,10,8,9,9,9,246,"Promotores"
"Gol",247,"Volkswagen",5,2,1,5,0,0,1,1,8,1,1,3,1,0,0,247,"Detratores"
"Gol",248,"Volkswagen",6,5,5,5,4,3,3,2,6,7,6,5,5,3,0,248,"Detratores"
"Gol",249,"Volkswagen",8,6,5,7,7,4,2,4,8,6,5,2,7,5,2,249,"Detratores"
"Gol",250,"Volkswagen",9,9,8,9,8,9,9,9,9,9,8,7,9,9,9,250,"Promotores"
"Gol",251,"Volkswagen",10,7,8,8,8,7,9,9,9,9,8,9,9,8,8,251,"Passivos"
"Gol",252,"Volkswagen",5,2,2,0,1,1,2,0,1,0,1,1,4,2,0,252,"Detratores"
"Gol",253,"Volkswagen",9,4,5,8,5,6,6,7,6,9,9,3,8,6,3,253,"Detratores"
"Gol",254,"Volkswagen",8,3,7,3,4,5,8,7,8,8,8,7,8,8,6,254,"Detratores"
"Gol",255,"Volkswagen",8,7,8,8,7,5,7,7,9,8,8,9,8,7,7,255,"Passivos"
