"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação"
"Gol",73,"Volkswagen",8,3,4,9,6,7,7,3,9,7,2,3,3,5,7
"Gol",74,"Volkswagen",9,7,8,8,7,6,10,6,8,6,7,10,8,7,8
"Gol",75,"Volkswagen",8,4,3,9,3,2,2,0,6,6,2,5,5,2,0
"Gol",76,"Volkswagen",6,2,5,5,2,2,9,2,2,6,5,5,5,7,0
"Gol",77,"Volkswagen",9,4,7,9,8,7,6,10,10,10,8,5,5,7,10
"Gol",78,"Volkswagen",10,10,7,8,6,5,8,0,8,8,4,0,10,3,0
"Gol",79,"Volkswagen",8,7,6,8,3,3,8,8,9,8,8,8,8,5,7
"Gol",80,"Volkswagen",9,8,9,9,8,8,9,9,10,10,8,9,9,9,10
"Gol",81,"Volkswagen",7,6,6,10,7,6,9,7,10,8,5,7,9,9,8
"Gol",82,"Volkswagen",6,0,3,8,2,1,1,0,2,2,1,1,4,6,0
"Gol",83,"Volkswagen",9,6,0,10,0,10,8,0,10,0,5,0,8,5,0
"Gol",84,"Volkswagen",6,4,7,8,7,6,10,9,8,10,7,9,8,7,8
"Gol",85,"Volkswagen",8,5,6,6,7,6,3,1,4,2,4,3,5,0,0
"Gol",86,"Volkswagen",8,1,8,6,2,0,8,0,8,0,5,0,3,1,0
"Gol",87,"Volkswagen",8,8,4,9,7,8,7,7,5,5,8,7,8,8,6
"Gol",88,"Volkswagen",8,3,6,2,1,4,2,4,8,4,7,0,8,1,0
"Gol",89,"Volkswagen",9,3,7,8,7,3,8,0,8,0,0,2,8,1,0
"Gol",90,"Volkswagen",9,6,6,8,5,4,9,10,8,8,8,10,10,7,10
"Gol",91,"Volkswagen",7,3,5,5,2,1,5,3,3,3,2,6,4,6,2
"Gol",92,"Volkswagen",8,2,5,3,4,4,7,4,5,5,4,8,7,4,4
"Gol",93,"Volkswagen",10,5,9,10,8,7,9,10,10,9,8,10,10,8,10
"Gol",94,"Volkswagen",5,3,8,5,9,5,0,0,8,5,5,8,5,1,0
"Gol",95,"Volkswagen",9,4,9,9,9,4,9,9,9,8,9,9,8,8,7
"Gol",96,"Volkswagen",9,5,5,7,5,3,3,3,5,6,1,5,4,5,2
"Gol",97,"Volkswagen",6,2,2,4,2,3,2,2,8,4,2,2,8,3,0
"Gol",98,"Volkswagen",10,9,8,9,8,8,10,10,10,9,10,10,10,9,10
"Gol",99,"Volkswagen",6,1,3,1,2,1,1,0,0,6,0,1,6,1,0
"Gol",100,"Volkswagen",10,8,10,9,8,6,8,10,10,1,9,10,10,10,8
"Gol",101,"Volkswagen",8,6,8,7,7,5,7,7,8,8,8,9,9,6,8
"Gol",102,"Volkswagen",10,2,4,4,2,2,2,1,5,5,5,1,1,7,1
"Gol",103,"Volkswagen",7,1,7,7,3,5,8,7,8,4,3,9,7,7,2
"Gol",104,"Volkswagen",8,8,7,8,7,5,7,8,8,8,7,7,7,7,7
"Gol",105,"Volkswagen",7,4,5,7,4,3,5,5,5,5,4,8,6,6,5
"Gol",106,"Volkswagen",8,7,7,8,6,5,3,4,7,7,6,6,5,7,7
"Gol",107,"Volkswagen",9,5,8,7,6,6,8,4,9,8,7,6,8,7,7
"Gol",108,"Volkswagen",9,6,6,7,6,5,6,8,7,8,7,8,8,8,8
"Gol",109,"Volkswagen",8,7,7,9,6,6,7,8,9,8,8,7,8,6,7
"Gol",110,"Volkswagen",8,8,8,7,7,4,6,8,8,7,6,7,7,7,8
"Gol",111,"Volkswagen",8,7,4,4,4,4,8,7,7,4,5,8,7,6,7
"Gol",112,"Volkswagen",9,8,9,9,6,4,4,7,8,9,9,9,9,8,5
"Gol",113,"Volkswagen",9,7,6,7,6,7,9,8,9,7,9,8,8,10,9
"Gol",114,"Volkswagen",9,8,9,9,8,8,7,8,10,9,9,8,9,10,10
"Gol",115,"Volkswagen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gol",116,"Volkswagen",10,6,7,8,7,7,8,9,9,7,8,7,8,7,8
"Gol",117,"Volkswagen",9,7,9,10,8,8,9,9,10,9,5,8,9,8,9
"Gol",118,"Volkswagen",10,5,8,10,7,10,10,10,10,8,8,8,8,8,8
"Gol",119,"Volkswagen",10,9,9,10,8,7,8,9,10,10,9,8,9,9,9
"Gol",120,"Volkswagen",8,0,8,9,9,4,5,2,8,4,0,1,2,5,6
"Gol",121,"Volkswagen",10,8,8,10,8,5,8,9,10,7,5,9,7,7,10
"Gol",122,"Volkswagen",8,5,7,10,8,5,9,1,8,8,8,9,2,0,1
"Gol",123,"Volkswagen",8,7,8,6,6,4,9,8,8,6,8,5,9,7,7
"Gol",124,"Volkswagen",10,1,8,10,10,7,6,8,10,4,2,3,9,9,2
"Gol",125,"Volkswagen",9,10,9,8,7,6,10,9,10,10,9,10,10,9,10
"Gol",126,"Volkswagen",9,9,9,9,9,9,10,10,10,9,9,9,10,10,9
"Gol",127,"Volkswagen",8,8,8,9,7,5,7,7,8,9,10,10,10,9,10
"Gol",128,"Volkswagen",8,8,8,9,7,7,9,8,8,9,7,8,9,6,8
"Gol",129,"Volkswagen",8,2,2,2,2,1,1,0,1,1,1,1,1,1,0
"Gol",130,"Volkswagen",10,10,9,10,5,0,0,10,10,10,10,6,9,5,5
"Gol",131,"Volkswagen",9,7,6,7,7,4,3,2,7,7,5,7,7,4,3
"Gol",132,"Volkswagen",1,2,2,2,2,0,2,0,2,0,0,6,0,0,0
"Gol",133,"Volkswagen",7,5,5,6,6,5,4,7,8,6,3,5,7,6,5
"Gol",134,"Volkswagen",10,0,10,10,0,0,10,6,9,5,0,10,8,0,0
"Gol",135,"Volkswagen",6,4,4,8,6,2,5,2,6,9,9,6,7,4,4
"Gol",136,"Volkswagen",9,5,8,8,5,5,5,2,2,4,4,8,8,5,2
"Gol",137,"Volkswagen",8,0,9,7,7,0,5,0,5,5,5,8,5,2,0
"Gol",138,"Volkswagen",5,0,1,0,0,5,0,0,0,0,0,3,4,0,0
"Gol",139,"Volkswagen",10,5,9,10,10,3,4,1,5,8,3,5,10,5,3
"Gol",140,"Volkswagen",7,0,2,4,3,2,0,1,5,5,4,4,5,0,0
"Gol",141,"Volkswagen",10,6,7,10,8,7,10,10,8,10,7,10,10,7,9
"Gol",142,"Volkswagen",9,8,7,5,8,7,6,7,6,7,6,4,5,4,2
"Gol",143,"Volkswagen",9,9,10,10,9,9,8,9,10,10,10,9,10,10,10
"Gol",144,"Volkswagen",9,7,7,8,6,6,7,0,2,3,2,1,3,1,1
"Gol",145,"Volkswagen",8,5,6,8,6,5,5,0,7,7,7,6,7,6,0
"Gol",146,"Volkswagen",10,7,10,7,7,5,10,0,8,8,8,8,8,6,0
"Gol",147,"Volkswagen",10,9,7,10,8,7,10,10,10,10,10,9,10,10,9
"Gol",148,"Volkswagen",5,4,5,5,4,8,5,4,6,6,6,6,6,5,0
"Gol",149,"Volkswagen",7,4,7,7,1,2,2,2,5,4,2,0,6,6,0
"Gol",150,"Volkswagen",9,6,8,9,8,8,6,6,9,8,6,9,9,7,8
"Gol",151,"Volkswagen",9,3,5,10,6,4,5,7,10,7,5,7,7,6,7
"Gol",152,"Volkswagen",6,4,4,6,5,4,2,0,0,2,2,0,5,1,0
"Gol",153,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Gol",154,"Volkswagen",8,8,6,9,6,6,10,10,10,8,6,10,8,9,9
"Gol",155,"Volkswagen",8,7,6,9,8,7,4,7,7,1,8,8,8,8,8
"Gol",156,"Volkswagen",8,4,8,5,3,5,9,1,9,7,6,8,9,7,5
"Gol",157,"Volkswagen",10,5,7,10,6,3,5,5,10,10,6,7,8,8,8
"Gol",158,"Volkswagen",10,5,3,10,9,9,8,9,10,10,1,9,8,7,8
"Gol",159,"Volkswagen",10,0,10,10,10,0,10,10,10,10,0,10,0,0,0
"Gol",160,"Volkswagen",9,2,7,5,7,5,2,0,9,6,2,0,7,9,4
"Gol",161,"Volkswagen",7,6,5,7,7,7,8,6,8,7,8,8,8,7,5
"Gol",162,"Volkswagen",7,5,2,8,5,6,6,0,8,7,7,7,7,4,0
"Gol",163,"Volkswagen",7,6,7,7,7,5,8,8,8,7,8,7,6,6,7
"Gol",164,"Volkswagen",10,8,7,9,9,9,1,1,9,6,8,5,7,5,5
"Gol",165,"Volkswagen",9,0,8,4,9,8,9,6,9,3,3,9,8,10,4
"Gol",166,"Volkswagen",10,7,8,10,9,8,10,9,10,10,9,9,10,8,10
"Gol",167,"Volkswagen",9,7,9,8,8,7,9,9,10,8,9,8,8,7,8
"Gol",168,"Volkswagen",10,9,9,9,9,9,6,9,9,9,9,6,9,8,8
"Gol",169,"Volkswagen",9,7,6,7,7,5,5,3,8,8,7,3,8,5,5
"Gol",170,"Volkswagen",9,8,8,10,9,9,8,6,10,10,9,8,8,9,9
"Gol",171,"Volkswagen",8,1,6,6,3,1,7,1,7,3,3,5,7,5,3
"Gol",172,"Volkswagen",8,5,7,6,6,6,3,0,0,8,7,6,6,2,0
"Gol",173,"Volkswagen",10,0,5,10,4,7,0,0,0,0,0,0,6,0,0
"Gol",174,"Volkswagen",7,6,1,2,3,2,1,1,1,0,2,1,2,1,0
"Gol",175,"Volkswagen",7,6,7,8,7,4,4,5,7,4,6,0,2,2,0
"Gol",176,"Volkswagen",9,6,8,10,8,5,4,3,10,6,5,6,6,5,7
"Gol",177,"Volkswagen",9,2,8,5,7,8,5,1,7,3,0,2,7,6,0
"Gol",178,"Volkswagen",10,7,5,10,7,8,8,0,10,0,10,5,8,4,0
"Gol",179,"Volkswagen",9,2,5,9,5,5,3,1,5,1,3,1,7,3,0
"Gol",180,"Volkswagen",9,2,3,2,3,3,2,1,4,4,1,4,4,2,0
"Gol",181,"Volkswagen",8,0,2,1,4,3,6,4,1,7,2,0,5,0,0
"Gol",182,"Volkswagen",5,0,3,3,0,0,0,0,3,0,0,0,0,0,0
"Gol",183,"Volkswagen",10,6,10,10,7,8,10,9,10,8,6,10,8,9,4
"Gol",184,"Volkswagen",10,6,4,1,7,7,6,5,5,5,4,0,7,5,7
"Gol",185,"Volkswagen",2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Gol",186,"Volkswagen",9,2,9,8,8,7,6,7,9,9,7,5,9,8,7
"Gol",187,"Volkswagen",10,10,10,10,10,7,8,10,10,10,10,10,10,10,10
"Gol",188,"Volkswagen",8,10,5,6,6,5,9,3,10,10,2,0,6,8,8
"Gol",189,"Volkswagen",10,7,9,8,6,7,10,10,10,8,7,9,7,9,9
"Gol",190,"Volkswagen",5,1,2,3,5,7,8,7,7,7,7,7,7,7,6
"Gol",191,"Volkswagen",6,0,6,4,3,4,0,0,8,0,4,0,4,3,0
"Gol",192,"Volkswagen",9,4,6,7,6,3,9,9,10,9,9,9,10,7,7
"Gol",193,"Volkswagen",9,9,8,8,9,7,7,8,10,8,8,8,7,9,8
"Gol",194,"Volkswagen",9,8,9,9,7,6,9,10,10,8,8,7,10,8,10
"Gol",195,"Volkswagen",9,8,9,7,7,7,7,9,10,9,8,7,9,9,9
"Gol",196,"Volkswagen",7,3,5,5,4,4,6,0,5,0,6,7,7,0,0
"Gol",197,"Volkswagen",10,8,7,8,9,7,10,10,10,10,10,10,10,10,10
"Gol",198,"Volkswagen",8,9,7,10,10,8,7,8,10,9,10,10,10,10,10
"Gol",199,"Volkswagen",9,9,10,10,10,8,9,9,10,9,10,10,10,9,9
"Gol",200,"Volkswagen",10,8,7,9,8,8,5,7,7,8,7,3,7,8,7
"Gol",201,"Volkswagen",5,3,3,9,4,0,6,3,3,3,5,7,7,3,2
"Gol",202,"Volkswagen",10,9,9,9,6,6,8,8,8,8,7,1,7,6,7
"Gol",203,"Volkswagen",9,8,10,9,8,7,10,10,10,9,10,10,9,9,9
"Gol",204,"Volkswagen",10,7,9,9,8,7,9,10,7,9,10,10,10,9,9
"Gol",205,"Volkswagen",9,2,6,9,6,6,5,1,8,7,7,7,8,10,8
"Gol",206,"Volkswagen",10,0,9,9,8,8,9,9,9,8,9,9,7,1,5
"Gol",207,"Volkswagen",10,7,8,10,8,5,8,9,9,9,9,9,9,8,9
"Gol",208,"Volkswagen",9,6,9,10,8,5,10,10,10,9,8,10,7,6,6
"Gol",209,"Volkswagen",8,5,3,5,3,8,8,7,5,7,7,9,8,8,5
"Gol",210,"Volkswagen",9,6,6,9,7,4,10,9,8,7,6,10,7,8,2
"Gol",211,"Volkswagen",9,9,9,9,6,1,10,8,10,9,8,8,10,8,8
"Gol",212,"Volkswagen",9,9,9,9,9,7,9,9,10,8,9,7,10,8,9
"Gol",213,"Volkswagen",8,8,6,8,8,8,7,7,7,6,8,5,8,8,8
"Gol",214,"Volkswagen",9,9,9,10,8,7,9,8,10,8,9,9,8,9,10
"Gol",215,"Volkswagen",10,9,9,10,9,7,9,8,9,8,8,6,7,4,7
"Gol",216,"Volkswagen",10,8,8,10,7,6,7,9,10,10,8,9,10,10,10
"Gol",217,"Volkswagen",7,4,4,4,2,1,2,3,7,3,3,5,1,2,0
"Gol",218,"Volkswagen",8,8,8,9,9,5,8,0,10,0,9,10,9,0,0
"Gol",219,"Volkswagen",10,8,10,10,9,8,10,10,10,10,8,8,9,10,10
"Gol",220,"Volkswagen",10,8,8,9,9,6,8,8,9,9,9,6,8,8,9
"Gol",221,"Volkswagen",9,9,9,10,9,8,10,9,10,10,10,10,10,10,10
"Gol",222,"Volkswagen",8,5,6,9,7,7,7,1,10,5,7,7,7,4,1
"Gol",223,"Volkswagen",9,9,9,9,8,7,8,9,8,7,8,9,8,9,9
"Gol",224,"Volkswagen",7,0,9,9,1,5,5,0,10,5,0,0,10,3,0
"Gol",225,"Volkswagen",10,3,8,9,2,1,1,2,6,6,4,0,4,1,0
"Gol",226,"Volkswagen",10,9,10,10,10,6,0,0,0,4,5,1,6,0,1
"Gol",227,"Volkswagen",10,8,9,10,9,7,8,7,9,10,8,7,8,8,8
"Gol",228,"Volkswagen",10,9,10,10,10,10,8,5,8,8,9,7,8,9,8
"Gol",229,"Volkswagen",9,4,5,7,5,1,6,6,7,6,7,0,7,3,3
"Gol",230,"Volkswagen",7,5,3,9,8,8,2,2,3,8,8,1,7,5,0
"Gol",231,"Volkswagen",9,5,7,8,5,4,4,6,8,6,4,4,5,9,8
"Gol",232,"Volkswagen",6,4,6,8,6,6,1,5,4,6,1,4,6,5,3
"Gol",233,"Volkswagen",9,8,9,9,9,9,6,7,9,8,8,7,8,7,8
"Gol",234,"Volkswagen",6,6,4,4,4,2,1,3,3,4,2,2,2,1,2
"Gol",235,"Volkswagen",10,9,9,10,10,8,10,10,10,10,10,9,10,8,10
"Gol",236,"Volkswagen",8,6,8,9,6,6,9,9,9,7,8,10,10,7,8
"Gol",237,"Volkswagen",9,5,6,10,6,4,5,7,9,8,8,5,9,4,8
"Gol",238,"Volkswagen",9,8,9,10,8,9,8,10,10,9,9,7,8,8,10
"Gol",239,"Volkswagen",7,0,1,7,2,2,0,0,4,6,3,2,5,3,0
"Gol",240,"Volkswagen",5,3,3,3,3,2,3,0,4,0,0,2,2,0,0
"Gol",241,"Volkswagen",8,8,9,7,7,3,5,1,7,5,8,7,8,8,6
"Gol",242,"Volkswagen",8,2,7,8,8,7,7,2,8,2,7,7,7,6,1
"Gol",243,"Volkswagen",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Gol",244,"Volkswagen",10,6,10,10,8,9,6,8,10,10,9,7,9,8,10
"Gol",245,"Volkswagen",10,9,7,9,7,5,7,9,10,9,5,9,9,8,8
"Gol",246,"Volkswagen",10,8,8,8,8,8,9,10,10,10,10,8,9,9,9
"Gol",247,"Volkswagen",5,2,1,5,0,0,1,1,8,1,1,3,1,0,0
"Gol",248,"Volkswagen",6,5,5,5,4,3,3,2,6,7,6,5,5,3,0
"Gol",249,"Volkswagen",8,6,5,7,7,4,2,4,8,6,5,2,7,5,2
"Gol",250,"Volkswagen",9,9,8,9,8,9,9,9,9,9,8,7,9,9,9
"Gol",251,"Volkswagen",10,7,8,8,8,7,9,9,9,9,8,9,9,8,8
"Gol",252,"Volkswagen",5,2,2,0,1,1,2,0,1,0,1,1,4,2,0
"Gol",253,"Volkswagen",9,4,5,8,5,6,6,7,6,9,9,3,8,6,3
"Gol",254,"Volkswagen",8,3,7,3,4,5,8,7,8,8,8,7,8,8,6
"Gol",255,"Volkswagen",8,7,8,8,7,5,7,7,9,8,8,9,8,7,7
"Gol",256,"Volkswagen",10,6,7,10,7,7,8,1,8,8,1,9,10,10,6
"Gol",257,"Volkswagen",8,6,6,5,5,4,0,0,7,8,8,0,6,0,0
"Gol",258,"Volkswagen",8,6,9,8,7,4,5,8,10,7,7,7,7,7,6
"Gol",259,"Volkswagen",8,7,8,9,9,7,6,6,9,6,8,7,9,8,7
"Gol",260,"Volkswagen",10,8,9,10,10,8,10,10,10,8,8,8,10,10,10
"Gol",261,"Volkswagen",9,6,9,10,9,8,10,6,9,8,8,8,10,8,9
"Gol",262,"Volkswagen",8,5,9,8,5,1,2,0,5,9,7,5,8,5,1
"Gol",263,"Volkswagen",8,1,5,5,5,7,7,0,3,6,4,6,7,4,0
"Gol",264,"Volkswagen",9,3,8,9,5,4,4,3,6,1,2,0,4,4,0
"Gol",265,"Volkswagen",0,0,8,4,5,2,5,0,0,5,5,0,5,5,0
"Gol",266,"Volkswagen",9,0,10,7,5,5,5,0,8,10,9,8,9,7,0
"Gol",267,"Volkswagen",10,10,9,5,7,0,0,1,7,5,5,0,5,2,1
"Gol",268,"Volkswagen",10,6,5,7,8,7,5,4,5,6,6,2,8,5,5
"Gol",269,"Volkswagen",9,0,4,5,5,5,7,0,4,5,2,0,5,5,0
"Gol",270,"Volkswagen",8,5,5,4,4,3,4,4,8,5,7,5,6,7,7
"Gol",271,"Volkswagen",8,1,3,2,3,0,4,0,7,4,0,0,9,4,0
"Gol",272,"Volkswagen",8,6,7,7,6,6,6,4,8,6,7,7,7,3,2
"Gol",273,"Volkswagen",8,7,7,7,6,5,4,0,6,8,5,0,6,3,0
"Gol",274,"Volkswagen",9,6,8,8,8,8,9,9,9,9,7,9,8,8,7
"Gol",275,"Volkswagen",5,0,5,5,5,5,0,0,0,0,0,0,5,0,0
"Gol",276,"Volkswagen",8,2,5,9,3,0,0,0,0,3,0,0,7,0,0
"Gol",277,"Volkswagen",10,10,9,10,9,6,10,10,10,10,10,9,10,10,10
"Gol",278,"Volkswagen",8,5,6,5,5,5,4,5,6,3,4,4,7,8,7
"Gol",279,"Volkswagen",7,7,7,7,5,5,8,7,7,7,7,7,8,7,7
"Gol",280,"Volkswagen",10,9,9,10,10,8,8,9,10,9,9,8,10,8,10
"Gol",281,"Volkswagen",10,6,8,10,10,8,10,10,10,9,8,9,9,8,9
"Gol",282,"Volkswagen",6,7,8,10,7,8,8,10,10,10,9,9,9,8,6
"Gol",283,"Volkswagen",7,7,7,5,7,5,5,2,5,7,5,5,5,0,0
"Gol",284,"Volkswagen",10,7,7,4,7,6,8,8,10,9,8,9,9,8,10
"Gol",285,"Volkswagen",9,7,6,9,7,5,5,6,7,7,3,8,9,7,8
"Gol",286,"Volkswagen",9,4,6,4,6,5,7,6,8,8,8,4,8,0,5
"Gol",287,"Volkswagen",10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
"Gol",288,"Volkswagen",8,0,0,0,2,3,0,0,6,3,0,0,2,2,0
"Gol",289,"Volkswagen",8,7,7,7,7,6,7,5,9,7,6,6,7,6,7
"Gol",290,"Volkswagen",9,7,7,9,6,5,10,9,9,9,9,8,10,5,4
"Gol",291,"Volkswagen",8,4,5,8,6,3,5,5,5,4,4,6,5,5,4
"Gol",292,"Volkswagen",8,6,6,10,9,7,3,3,8,7,7,3,8,6,8
"Gol",293,"Volkswagen",9,6,8,8,7,8,8,8,7,7,7,8,8,8,5
"Gol",294,"Volkswagen",8,8,8,8,9,8,8,9,5,9,9,5,9,7,5
"Gol",295,"Volkswagen",7,9,10,9,6,1,7,6,10,5,5,7,8,8,7
"Gol",296,"Volkswagen",10,6,9,10,10,9,10,10,10,8,9,9,10,9,9
"Gol",297,"Volkswagen",10,9,8,9,9,10,8,10,9,8,8,7,9,8,10
"Gol",298,"Volkswagen",8,2,4,5,4,5,7,5,7,7,4,6,5,5,2
"Gol",299,"Volkswagen",8,3,7,8,7,5,9,8,9,6,5,8,9,7,7
"Gol",300,"Volkswagen",9,6,7,9,8,5,8,2,9,10,10,9,9,8,8
"Gol",301,"Volkswagen",8,8,8,8,8,6,7,6,8,7,6,8,8,7,8
"Gol",302,"Volkswagen",7,6,5,8,7,5,2,3,7,6,9,5,6,6,5
"Gol",303,"Volkswagen",10,8,8,10,9,7,8,8,10,8,9,9,9,8,8
"Gol",304,"Volkswagen",10,9,5,10,6,8,6,8,10,8,10,8,8,10,10
"Gol",305,"Volkswagen",10,3,7,10,9,9,10,10,10,10,9,9,10,9,10
"Gol",306,"Volkswagen",10,9,10,10,10,8,8,10,10,10,8,9,10,8,10
